"Name","Poverty by Race/Ethnicity"
"Description","Individuals living in households with incomes below the Federal Poverty Level (FPL) by racial/ethnic groups.&nbsp;Racial/ethnic groups are defined as follows: White = non-Latino White alone, Black = non-Latino Black alone, Asian = non-Latino Asian or Pacific Islander alone, Latino = Latino of any race.&nbsp;"
"Source Notes","U.S. Census Bureau, American Community Survey 1-Year Estimates, Public Use Microdata Sample File (2007-2018); retrieved from <a href=""https://data.census.gov/"">https://data.census.gov/</a>."
"Notes","The Federal Poverty Level (FPL) is an income threshold calculated by the U.S. Census Bureau each year for the purpose of estimating the number of individuals and households living in poverty. The income threshold varies based on the number of children and adults in a household and the age of the head of household. In 2018, the FPL for a household consisting of two adults and two children was $25,100. The Census Bureau excludes institutionalized individuals, individuals living in military group quarters or college dorms, and unrelated individuals under 15 years of age from poverty estimates.&nbsp;<br />
<br />
Poverty data displayed in Race/Ethnicity breakdown may differ slightly from poverty data displayed in Total breakdown because data in Race/Ethnicity breakdown were derived from Census Public Use Microdata files, while data in Total breakdown were derived from Census summary table files. (See sources.)&nbsp;Percents refer to the percent of the population of the selected racial/ethnic group for whom poverty status was determined.&nbsp;"
Brownsville,Latino,2016,Number,10154,316
Central Harlem,Latino,2016,Number,10353,110
Mott Haven,Black,2016,Number,10721.743,201
Bay Ridge,White,2016,Number,10938,310
Jamaica/St. Albans,Black,2016,Number,10974,412
University Heights,Black,2016,Number,11016,205
Park Slope,All Races and Ethnicities,2016,Number,11074,306
Tottenville,All Races and Ethnicities,2016,Number,11117,503
Bronx,Asian,2016,Number,11728,36005
Lower East Side,Latino,2016,Number,11818,103
Elmhurst/Corona,Asian,2016,Number,12036,404
Chelsea/Clinton,All Races and Ethnicities,2016,Number,12128.045,104
Sunnyside/Woodside,All Races and Ethnicities,2016,Number,12185,402
Riverdale,Latino,2016,Number,12336,208
Flatbush/Midwood,White,2016,Number,12443,314
Rego Park/Forest Hills,All Races and Ethnicities,2016,Number,12633,406
St. George,Black,2016,Number,12641,501
Bedford Stuyvesant,Black,2016,Number,12796,303
The Rockaways,Black,2016,Number,12838,414
Williamsbridge,Black,2016,Number,13399,212
St. George,Latino,2016,Number,13415,501
Manhattanville,Latino,2016,Number,13511,109
Ridgewood/Glendale,All Races and Ethnicities,2016,Number,13686,405
Upper East Side,All Races and Ethnicities,2016,Number,13717,108
Unionport/Soundview,Black,2016,Number,13779,209
Bedford Stuyvesant,White,2016,Number,13894,303
Hunts Point,Latino,2016,Number,13990.252,202
East Harlem,Black,2016,Number,14075,111
Pelham Parkway,Latino,2016,Number,14322,211
Staten Island,Black,2016,Number,14412,36085
Coney Island,White,2016,Number,14778,313
Sunset Park,Asian,2016,Number,15282,307
Elmhurst/Corona,Latino,2016,Number,16194,404
East Flatbush,Black,2016,Number,16196,317
Throgs Neck,All Races and Ethnicities,2016,Number,16631,210
Crown Heights South,All Races and Ethnicities,2016,Number,16723,309
South Beach,All Races and Ethnicities,2016,Number,16896,502
Sheepshead Bay,White,2016,Number,17035,315
East New York,Latino,2016,Number,17400,305
Queens Village,All Races and Ethnicities,2016,Number,17952,413
Lower East Side,Asian,2016,Number,18068,103
Bay Ridge,All Races and Ethnicities,2016,Number,18469,310
Morrisania,Latino,2016,Number,18487.191,203
Upper West Side,All Races and Ethnicities,2016,Number,18532,107
East Flatbush,All Races and Ethnicities,2016,Number,19063,317
Howard Beach,All Races and Ethnicities,2016,Number,19299,410
East Tremont,Latino,2016,Number,19299.809,206
Riverdale,All Races and Ethnicities,2016,Number,19346,208
Staten Island,White,2016,Number,19552,36085
Sunset Park,Latino,2016,Number,19945,307
Canarsie,All Races and Ethnicities,2016,Number,20222,318
Bronx,White,2016,Number,20555,36005
Hunts Point,All Races and Ethnicities,2016,Number,20807.46,202
Crown Heights North,Black,2016,Number,20843,308
Williamsburg/Greenpoint,White,2016,Number,21286,301
Staten Island,Latino,2016,Number,21735,36085
Pelham Parkway,All Races and Ethnicities,2016,Number,22297,211
Fresh Meadows/Briarwood,All Races and Ethnicities,2016,Number,22308,408
East New York,Black,2016,Number,22433,305
Brownsville,Black,2016,Number,22881,316
Jackson Heights,Latino,2016,Number,23053,403
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2016,Number,23057,302
Astoria,All Races and Ethnicities,2016,Number,23651,401
Mott Haven,Latino,2016,Number,24500.748,201
East Harlem,Latino,2016,Number,24757,111
Woodhaven,All Races and Ethnicities,2016,Number,25382,409
Williamsbridge,All Races and Ethnicities,2016,Number,25615,212
The Rockaways,All Races and Ethnicities,2016,Number,25981,414
Sheepshead Bay,All Races and Ethnicities,2016,Number,26054,315
Bensonhurst,All Races and Ethnicities,2016,Number,26383,311
Central Harlem,Black,2016,Number,26866,110
Jamaica/St. Albans,All Races and Ethnicities,2016,Number,27574,412
Manhattanville,All Races and Ethnicities,2016,Number,27859,109
Bushwick,Latino,2016,Number,28222,304
Coney Island,All Races and Ethnicities,2016,Number,28866,313
Jackson Heights,All Races and Ethnicities,2016,Number,29587,403
Morrisania,All Races and Ethnicities,2016,Number,29620.015,203
Elmhurst/Corona,All Races and Ethnicities,2016,Number,29891,404
Flatbush/Midwood,All Races and Ethnicities,2016,Number,30059,314
Flushing,Asian,2016,Number,30560,407
East Tremont,All Races and Ethnicities,2016,Number,30921.985,206
Bedford Park,Latino,2016,Number,32061,207
Crown Heights North,All Races and Ethnicities,2016,Number,32814,308
Unionport/Soundview,Latino,2016,Number,33397,209
Williamsburg/Greenpoint,All Races and Ethnicities,2016,Number,33631,301
Borough Park,White,2016,Number,33715,312
St. George,All Races and Ethnicities,2016,Number,35890,501
Brownsville,All Races and Ethnicities,2016,Number,36055,316
Mott Haven,All Races and Ethnicities,2016,Number,36439.54,201
Manhattan,Asian,2016,Number,37596,36061
Bedford Stuyvesant,All Races and Ethnicities,2016,Number,39438,303
Flushing,All Races and Ethnicities,2016,Number,39723,407
Queens,Black,2016,Number,40004,36081
Sunset Park,All Races and Ethnicities,2016,Number,40416,307
Central Harlem,All Races and Ethnicities,2016,Number,40684,110
Lower East Side,All Races and Ethnicities,2016,Number,40715,103
Concourse/Highbridge,Latino,2016,Number,41359,204
Bushwick,All Races and Ethnicities,2016,Number,42368,304
University Heights,Latino,2016,Number,42520,205
Bedford Park,All Races and Ethnicities,2016,Number,43615,207
East Harlem,All Races and Ethnicities,2016,Number,44190,111
Washington Heights,Latino,2016,Number,45051,112
Queens,White,2016,Number,45152,36081
East New York,All Races and Ethnicities,2016,Number,46059,305
Borough Park,All Races and Ethnicities,2016,Number,47351,312
Concourse/Highbridge,All Races and Ethnicities,2016,Number,53950,204
Manhattan,White,2016,Number,54728,36061
University Heights,All Races and Ethnicities,2016,Number,54992,205
Unionport/Soundview,All Races and Ethnicities,2016,Number,56247,209
Washington Heights,All Races and Ethnicities,2016,Number,59111,112
Brooklyn,Asian,2016,Number,63547,36047
Staten Island,All Races and Ethnicities,2016,Number,63903,36085
Manhattan,Black,2016,Number,67367,36061
Bronx,Black,2016,Number,101608,36005
Queens,Asian,2016,Number,102054,36081
Queens,Latino,2016,Number,105588,36081
Manhattan,Latino,2016,Number,119185,36061
Brooklyn,Black,2016,Number,140763,36047
Brooklyn,Latino,2016,Number,148332,36047
Brooklyn,White,2016,Number,175131,36047
New York City,Asian,2016,Number,220608,3651000
Bronx,Latino,2016,Number,266375,36005
Manhattan,All Races and Ethnicities,2016,Number,282496,36061
Queens,All Races and Ethnicities,2016,Number,308715,36081
New York City,White,2016,Number,315118,3651000
New York City,Black,2016,Number,364154,3651000
Bronx,All Races and Ethnicities,2016,Number,410482,36005
Brooklyn,All Races and Ethnicities,2016,Number,538102,36047
New York City,Latino,2016,Number,661215,3651000
New York City,All Races and Ethnicities,2016,Number,1603698,3651000
New York City,White,2017,Number,288877,3651000
New York City,Black,2017,Number,388464,3651000
New York City,Asian,2017,Number,199773,3651000
New York City,Latino,2017,Number,594775,3651000
New York City,All Races and Ethnicities,2017,Number,1510315,3651000
New York City,White,2017,Percent,0.10772,3651000
New York City,Black,2017,Percent,0.21092,3651000
New York City,Asian,2017,Percent,0.16265,3651000
New York City,Latino,2017,Percent,0.23955,3651000
New York City,All Races and Ethnicities,2017,Percent,0.17806,3651000
Bronx,White,2017,Number,19973,36005
Manhattan,White,2017,Number,51740,36061
Brooklyn,White,2017,Number,148643,36047
Queens,White,2017,Number,48362,36081
Staten Island,White,2017,Number,20159,36085
Bronx,Black,2017,Number,108631,36005
Manhattan,Black,2017,Number,62067,36061
Brooklyn,Black,2017,Number,157000,36047
Queens,Black,2017,Number,46958,36081
Staten Island,Black,2017,Number,13808,36085
Bronx,Asian,2017,Number,12791,36005
Manhattan,Asian,2017,Number,35777,36061
Brooklyn,Asian,2017,Number,62475,36047
Queens,Asian,2017,Number,82009,36081
Staten Island,Asian,2017,Number,6721,36085
Bronx,Latino,2017,Number,263391,36005
Manhattan,Latino,2017,Number,101650,36061
Brooklyn,Latino,2017,Number,121127,36047
Queens,Latino,2017,Number,89956,36081
Staten Island,Latino,2017,Number,18651,36085
Bronx,All Races and Ethnicities,2017,Number,412119,36005
Manhattan,All Races and Ethnicities,2017,Number,260428,36061
Brooklyn,All Races and Ethnicities,2017,Number,498959,36047
Queens,All Races and Ethnicities,2017,Number,278506,36081
Staten Island,All Races and Ethnicities,2017,Number,60303,36085
Bronx,White,2017,Percent,0.16079,36005
Manhattan,White,2017,Percent,0.06883,36061
Brooklyn,White,2017,Percent,0.15727,36047
Queens,White,2017,Percent,0.08442,36081
Staten Island,White,2017,Percent,0.07004,36085
Bronx,Black,2017,Percent,0.26253,36005
Manhattan,Black,2017,Percent,0.31438,36061
Brooklyn,Black,2017,Percent,0.19958,36047
Queens,Black,2017,Percent,0.11772,36081
Staten Island,Black,2017,Percent,0.30676,36085
Bronx,Asian,2017,Percent,0.23374,36005
Manhattan,Asian,2017,Percent,0.18343,36061
Brooklyn,Asian,2017,Percent,0.19518,36047
Queens,Asian,2017,Percent,0.13371,36081
Staten Island,Asian,2017,Percent,0.14926,36085
Bronx,Latino,2017,Percent,0.32354,36005
Manhattan,Latino,2017,Percent,0.2381,36061
Brooklyn,Latino,2017,Percent,0.24139,36047
Queens,Latino,2017,Percent,0.13801,36081
Staten Island,Latino,2017,Percent,0.21108,36085
Bronx,All Races and Ethnicities,2017,Percent,0.28732,36005
Manhattan,All Races and Ethnicities,2017,Percent,0.16096,36061
Brooklyn,All Races and Ethnicities,2017,Percent,0.19009,36047
Queens,All Races and Ethnicities,2017,Percent,0.11946,36081
Staten Island,All Races and Ethnicities,2017,Percent,0.12744,36085
Battery Park/Tribeca,White,2017,Number,2462.23602,101
Greenwich Village,White,2017,Number,3634.76398,102
Lower East Side,White,2017,Number,6036,103
Chelsea/Clinton,White,2017,Number,5904.07477,104
Midtown Business District,White,2017,Number,2954.92523,105
Murray Hill/Stuyvesant,White,2017,Number,4707,106
Upper West Side,White,2017,Number,7362,107
Upper East Side,White,2017,Number,6977,108
Manhattanville,White,2017,Number,4236,109
Central Harlem,White,2017,Number,2430,110
East Harlem,White,2017,Number,1866,111
Washington Heights,White,2017,Number,3170,112
Mott Haven,White,2017,Number,1036.91041,201
Hunts Point,White,2017,Number,592.08959,202
Morrisania,White,2017,Number,1342.4948,203
Concourse/Highbridge,White,2017,Number,471,204
University Heights,White,2017,Number,101,205
East Tremont,White,2017,Number,1401.5052,206
Bedford Park,White,2017,Number,4037,207
Riverdale,White,2017,Number,3116,208
Unionport/Soundview,White,2017,Number,2339,209
Throgs Neck,White,2017,Number,2182,210
Pelham Parkway,White,2017,Number,2632,211
Williamsbridge,White,2017,Number,722,212
Williamsburg/Greenpoint,White,2017,Number,17209,301
Fort Greene/Brooklyn Hts,White,2017,Number,4089,302
Bedford Stuyvesant,White,2017,Number,9983,303
Bushwick,White,2017,Number,4111,304
East New York,White,2017,Number,3049,305
Park Slope,White,2017,Number,3196,306
Sunset Park,White,2017,Number,3944,307
Crown Heights North,White,2017,Number,2405,308
Crown Heights South,White,2017,Number,5569,309
Bay Ridge,White,2017,Number,5168,310
Bensonhurst,White,2017,Number,13450,311
Borough Park,White,2017,Number,32400,312
Coney Island,White,2017,Number,13417,313
Flatbush/Midwood,White,2017,Number,10022,314
Sheepshead Bay,White,2017,Number,14812,315
Brownsville,White,2017,Number,1684,316
East Flatbush,White,2017,Number,1066,317
Canarsie,White,2017,Number,3069,318
Astoria,White,2017,Number,5326,401
Sunnyside/Woodside,White,2017,Number,3017,402
Jackson Heights,White,2017,Number,1653,403
Elmhurst/Corona,White,2017,Number,477,404
Ridgewood/Glendale,White,2017,Number,8073,405
Rego Park/Forest Hills,White,2017,Number,2418,406
Flushing,White,2017,Number,6081,407
Fresh Meadows/Briarwood,White,2017,Number,6765,408
Woodhaven,White,2017,Number,2361,409
Howard Beach,White,2017,Number,2329,410
Bayside,White,2017,Number,2732,411
Jamaica/St. Albans,White,2017,Number,1005,412
Queens Village,White,2017,Number,1542,413
The Rockaways,White,2017,Number,4583,414
St. George,White,2017,Number,4413,501
South Beach,White,2017,Number,7070,502
Tottenville,White,2017,Number,8676,503
Battery Park/Tribeca,Black,2017,Number,203.13346,101
Greenwich Village,Black,2017,Number,299.86654,102
Lower East Side,Black,2017,Number,5519,103
Chelsea/Clinton,Black,2017,Number,2884.39278,104
Midtown Business District,Black,2017,Number,1443.60722,105
Murray Hill/Stuyvesant,Black,2017,Number,1658,106
Upper West Side,Black,2017,Number,4471,107
Upper East Side,Black,2017,Number,382,108
Manhattanville,Black,2017,Number,7975,109
Central Harlem,Black,2017,Number,21237,110
East Harlem,Black,2017,Number,12417,111
Washington Heights,Black,2017,Number,3577,112
Mott Haven,Black,2017,Number,13135.47158,201
Hunts Point,Black,2017,Number,7500.52842,202
Morrisania,Black,2017,Number,11872.56612,203
Concourse/Highbridge,Black,2017,Number,12697,204
University Heights,Black,2017,Number,15261,205
East Tremont,Black,2017,Number,12394.43388,206
Bedford Park,Black,2017,Number,3932,207
Riverdale,Black,2017,Number,4307,208
Unionport/Soundview,Black,2017,Number,12995,209
Throgs Neck,Black,2017,Number,2189,210
Pelham Parkway,Black,2017,Number,3223,211
Williamsbridge,Black,2017,Number,9124,212
Williamsburg/Greenpoint,Black,2017,Number,2532,301
Fort Greene/Brooklyn Hts,Black,2017,Number,10108,302
Bedford Stuyvesant,Black,2017,Number,14328,303
Bushwick,Black,2017,Number,8086,304
East New York,Black,2017,Number,18901,305
Park Slope,Black,2017,Number,2569,306
Sunset Park,Black,2017,Number,389,307
Crown Heights North,Black,2017,Number,15671,308
Crown Heights South,Black,2017,Number,12803,309
Bay Ridge,Black,2017,Number,773,310
Bensonhurst,Black,2017,Number,443,311
Borough Park,Black,2017,Number,833,312
Coney Island,Black,2017,Number,6010,313
Flatbush/Midwood,Black,2017,Number,7862,314
Sheepshead Bay,Black,2017,Number,1003,315
Brownsville,Black,2017,Number,28899,316
East Flatbush,Black,2017,Number,15384,317
Canarsie,Black,2017,Number,10406,318
Astoria,Black,2017,Number,2102,401
Sunnyside/Woodside,Black,2017,Number,184,402
Jackson Heights,Black,2017,Number,569,403
Elmhurst/Corona,Black,2017,Number,1263,404
Ridgewood/Glendale,Black,2017,Number,250,405
Rego Park/Forest Hills,Black,2017,Number,19,406
Flushing,Black,2017,Number,725,407
Fresh Meadows/Briarwood,Black,2017,Number,1742,408
Woodhaven,Black,2017,Number,1046,409
Howard Beach,Black,2017,Number,1957,410
Bayside,Black,2017,Number,259,411
Jamaica/St. Albans,Black,2017,Number,12402,412
Queens Village,Black,2017,Number,11044,413
The Rockaways,Black,2017,Number,13396,414
St. George,Black,2017,Number,9911,501
South Beach,Black,2017,Number,3696,502
Tottenville,Black,2017,Number,201,503
Battery Park/Tribeca,Asian,2017,Number,1863.33558,101
Greenwich Village,Asian,2017,Number,2750.66442,102
Lower East Side,Asian,2017,Number,14697,103
Chelsea/Clinton,Asian,2017,Number,1552.82698,104
Midtown Business District,Asian,2017,Number,777.17302,105
Murray Hill/Stuyvesant,Asian,2017,Number,2562,106
Upper West Side,Asian,2017,Number,610,107
Upper East Side,Asian,2017,Number,1573,108
Manhattanville,Asian,2017,Number,3430,109
Central Harlem,Asian,2017,Number,1429,110
East Harlem,Asian,2017,Number,3102,111
Washington Heights,Asian,2017,Number,1430,112
Mott Haven,Asian,2017,Number,0,201
Hunts Point,Asian,2017,Number,0,202
Morrisania,Asian,2017,Number,452.55382,203
Concourse/Highbridge,Asian,2017,Number,693,204
University Heights,Asian,2017,Number,462,205
East Tremont,Asian,2017,Number,472.44618,206
Bedford Park,Asian,2017,Number,5744,207
Riverdale,Asian,2017,Number,698,208
Unionport/Soundview,Asian,2017,Number,3073,209
Throgs Neck,Asian,2017,Number,467,210
Pelham Parkway,Asian,2017,Number,285,211
Williamsbridge,Asian,2017,Number,444,212
Williamsburg/Greenpoint,Asian,2017,Number,2814,301
Fort Greene/Brooklyn Hts,Asian,2017,Number,2773,302
Bedford Stuyvesant,Asian,2017,Number,747,303
Bushwick,Asian,2017,Number,1522,304
East New York,Asian,2017,Number,456,305
Park Slope,Asian,2017,Number,782,306
Sunset Park,Asian,2017,Number,14664,307
Crown Heights North,Asian,2017,Number,1392,308
Crown Heights South,Asian,2017,Number,522,309
Bay Ridge,Asian,2017,Number,6782,310
Bensonhurst,Asian,2017,Number,12021,311
Borough Park,Asian,2017,Number,6775,312
Coney Island,Asian,2017,Number,1211,313
Flatbush/Midwood,Asian,2017,Number,3146,314
Sheepshead Bay,Asian,2017,Number,4620,315
Brownsville,Asian,2017,Number,1758,316
East Flatbush,Asian,2017,Number,137,317
Canarsie,Asian,2017,Number,353,318
Astoria,Asian,2017,Number,5966,401
Sunnyside/Woodside,Asian,2017,Number,5254,402
Jackson Heights,Asian,2017,Number,3165,403
Elmhurst/Corona,Asian,2017,Number,7039,404
Ridgewood/Glendale,Asian,2017,Number,896,405
Rego Park/Forest Hills,Asian,2017,Number,3614,406
Flushing,Asian,2017,Number,27163,407
Fresh Meadows/Briarwood,Asian,2017,Number,6906,408
Woodhaven,Asian,2017,Number,5938,409
Howard Beach,Asian,2017,Number,4725,410
Bayside,Asian,2017,Number,7272,411
Jamaica/St. Albans,Asian,2017,Number,1860,412
Queens Village,Asian,2017,Number,1845,413
The Rockaways,Asian,2017,Number,366,414
St. George,Asian,2017,Number,1859,501
South Beach,Asian,2017,Number,4166,502
Tottenville,Asian,2017,Number,696,503
Battery Park/Tribeca,Latino,2017,Number,391.72855,101
Greenwich Village,Latino,2017,Number,578.27145,102
Lower East Side,Latino,2017,Number,12547,103
Chelsea/Clinton,Latino,2017,Number,4399.23214,104
Midtown Business District,Latino,2017,Number,2201.76786,105
Murray Hill/Stuyvesant,Latino,2017,Number,1719,106
Upper West Side,Latino,2017,Number,4282,107
Upper East Side,Latino,2017,Number,3598,108
Manhattanville,Latino,2017,Number,12550,109
Central Harlem,Latino,2017,Number,11148,110
East Harlem,Latino,2017,Number,21906,111
Washington Heights,Latino,2017,Number,26329,112
Mott Haven,Latino,2017,Number,27058.33309,201
Hunts Point,Latino,2017,Number,15450.66691,202
Morrisania,Latino,2017,Number,19887.90591,203
Concourse/Highbridge,Latino,2017,Number,41811,204
University Heights,Latino,2017,Number,37550,205
East Tremont,Latino,2017,Number,20762.09409,206
Bedford Park,Latino,2017,Number,36058,207
Riverdale,Latino,2017,Number,11395,208
Unionport/Soundview,Latino,2017,Number,27035,209
Throgs Neck,Latino,2017,Number,6459,210
Pelham Parkway,Latino,2017,Number,10926,211
Williamsbridge,Latino,2017,Number,8998,212
Williamsburg/Greenpoint,Latino,2017,Number,6759,301
Fort Greene/Brooklyn Hts,Latino,2017,Number,4096,302
Bedford Stuyvesant,Latino,2017,Number,5287,303
Bushwick,Latino,2017,Number,23820,304
East New York,Latino,2017,Number,14474,305
Park Slope,Latino,2017,Number,4413,306
Sunset Park,Latino,2017,Number,11907,307
Crown Heights North,Latino,2017,Number,6490,308
Crown Heights South,Latino,2017,Number,2361,309
Bay Ridge,Latino,2017,Number,3283,310
Bensonhurst,Latino,2017,Number,5449,311
Borough Park,Latino,2017,Number,2150,312
Coney Island,Latino,2017,Number,10924,313
Flatbush/Midwood,Latino,2017,Number,4238,314
Sheepshead Bay,Latino,2017,Number,2175,315
Brownsville,Latino,2017,Number,9929,316
East Flatbush,Latino,2017,Number,1144,317
Canarsie,Latino,2017,Number,2228,318
Astoria,Latino,2017,Number,6478,401
Sunnyside/Woodside,Latino,2017,Number,3811,402
Jackson Heights,Latino,2017,Number,18960,403
Elmhurst/Corona,Latino,2017,Number,14572,404
Ridgewood/Glendale,Latino,2017,Number,8170,405
Rego Park/Forest Hills,Latino,2017,Number,1750,406
Flushing,Latino,2017,Number,3560,407
Fresh Meadows/Briarwood,Latino,2017,Number,4059,408
Woodhaven,Latino,2017,Number,8462,409
Howard Beach,Latino,2017,Number,5277,410
Bayside,Latino,2017,Number,1848,411
Jamaica/St. Albans,Latino,2017,Number,5148,412
Queens Village,Latino,2017,Number,2349,413
The Rockaways,Latino,2017,Number,5512,414
St. George,Latino,2017,Number,14338,501
South Beach,Latino,2017,Number,2830,502
Tottenville,Latino,2017,Number,1483,503
Battery Park/Tribeca,All Races and Ethnicities,2017,Number,4989.89475,101
Greenwich Village,All Races and Ethnicities,2017,Number,7366.10525,102
Lower East Side,All Races and Ethnicities,2017,Number,41546,103
Chelsea/Clinton,All Races and Ethnicities,2017,Number,14889.81132,104
Midtown Business District,All Races and Ethnicities,2017,Number,7452.18868,105
Murray Hill/Stuyvesant,All Races and Ethnicities,2017,Number,11345,106
Upper West Side,All Races and Ethnicities,2017,Number,18797,107
Upper East Side,All Races and Ethnicities,2017,Number,13060,108
Manhattanville,All Races and Ethnicities,2017,Number,28873,109
Central Harlem,All Races and Ethnicities,2017,Number,37288,110
East Harlem,All Races and Ethnicities,2017,Number,40019,111
Washington Heights,All Races and Ethnicities,2017,Number,34802,112
Mott Haven,All Races and Ethnicities,2017,Number,41537.52344,201
Hunts Point,All Races and Ethnicities,2017,Number,23718.47656,202
Morrisania,All Races and Ethnicities,2017,Number,33746.32713,203
Concourse/Highbridge,All Races and Ethnicities,2017,Number,56411,204
University Heights,All Races and Ethnicities,2017,Number,54159,205
East Tremont,All Races and Ethnicities,2017,Number,35229.67287,206
Bedford Park,All Races and Ethnicities,2017,Number,50955,207
Riverdale,All Races and Ethnicities,2017,Number,21130,208
Unionport/Soundview,All Races and Ethnicities,2017,Number,46137,209
Throgs Neck,All Races and Ethnicities,2017,Number,11388,210
Pelham Parkway,All Races and Ethnicities,2017,Number,17244,211
Williamsbridge,All Races and Ethnicities,2017,Number,20463,212
Williamsburg/Greenpoint,All Races and Ethnicities,2017,Number,29446,301
Fort Greene/Brooklyn Hts,All Races and Ethnicities,2017,Number,21371,302
Bedford Stuyvesant,All Races and Ethnicities,2017,Number,31167,303
Bushwick,All Races and Ethnicities,2017,Number,37811,304
East New York,All Races and Ethnicities,2017,Number,37091,305
Park Slope,All Races and Ethnicities,2017,Number,10984,306
Sunset Park,All Races and Ethnicities,2017,Number,31402,307
Crown Heights North,All Races and Ethnicities,2017,Number,26816,308
Crown Heights South,All Races and Ethnicities,2017,Number,22457,309
Bay Ridge,All Races and Ethnicities,2017,Number,16107,310
Bensonhurst,All Races and Ethnicities,2017,Number,33140,311
Borough Park,All Races and Ethnicities,2017,Number,42176,312
Coney Island,All Races and Ethnicities,2017,Number,31562,313
Flatbush/Midwood,All Races and Ethnicities,2017,Number,25823,314
Sheepshead Bay,All Races and Ethnicities,2017,Number,23156,315
Brownsville,All Races and Ethnicities,2017,Number,43350,316
East Flatbush,All Races and Ethnicities,2017,Number,18366,317
Canarsie,All Races and Ethnicities,2017,Number,16734,318
Astoria,All Races and Ethnicities,2017,Number,20767,401
Sunnyside/Woodside,All Races and Ethnicities,2017,Number,12519,402
Jackson Heights,All Races and Ethnicities,2017,Number,24347,403
Elmhurst/Corona,All Races and Ethnicities,2017,Number,23351,404
Ridgewood/Glendale,All Races and Ethnicities,2017,Number,17556,405
Rego Park/Forest Hills,All Races and Ethnicities,2017,Number,8248,406
Flushing,All Races and Ethnicities,2017,Number,38841,407
Fresh Meadows/Briarwood,All Races and Ethnicities,2017,Number,20586,408
Woodhaven,All Races and Ethnicities,2017,Number,19960,409
Howard Beach,All Races and Ethnicities,2017,Number,14651,410
Bayside,All Races and Ethnicities,2017,Number,12111,411
Jamaica/St. Albans,All Races and Ethnicities,2017,Number,22279,412
Queens Village,All Races and Ethnicities,2017,Number,17775,413
The Rockaways,All Races and Ethnicities,2017,Number,25515,414
St. George,All Races and Ethnicities,2017,Number,31037,501
South Beach,All Races and Ethnicities,2017,Number,18210,502
Tottenville,All Races and Ethnicities,2017,Number,11056,503
Battery Park/Tribeca,White,2017,Percent,0.05852,101
Greenwich Village,White,2017,Percent,0.05852,102
Lower East Side,White,2017,Percent,0.12766,103
Chelsea/Clinton,White,2017,Percent,0.10006,104
Midtown Business District,White,2017,Percent,0.10006,105
Murray Hill/Stuyvesant,White,2017,Percent,0.0472,106
Upper West Side,White,2017,Percent,0.05197,107
Upper East Side,White,2017,Percent,0.04403,108
Manhattanville,White,2017,Percent,0.12859,109
Central Harlem,White,2017,Percent,0.1121,110
East Harlem,White,2017,Percent,0.13473,111
Washington Heights,White,2017,Percent,0.07308,112
Mott Haven,White,2017,Percent,0.37726,201
Hunts Point,White,2017,Percent,0.37726,202
Morrisania,White,2017,Percent,0.57964,203
Concourse/Highbridge,White,2017,Percent,0.26535,204
University Heights,White,2017,Percent,0.07588,205
East Tremont,White,2017,Percent,0.57964,206
Bedford Park,White,2017,Percent,0.56747,207
Riverdale,White,2017,Percent,0.09643,208
Unionport/Soundview,White,2017,Percent,0.41486,209
Throgs Neck,White,2017,Percent,0.07826,210
Pelham Parkway,White,2017,Percent,0.08426,211
Williamsbridge,White,2017,Percent,0.09162,212
Williamsburg/Greenpoint,White,2017,Percent,0.17622,301
Fort Greene/Brooklyn Hts,White,2017,Percent,0.06666,302
Bedford Stuyvesant,White,2017,Percent,0.2657,303
Bushwick,White,2017,Percent,0.13633,304
East New York,White,2017,Percent,0.44746,305
Park Slope,White,2017,Percent,0.04306,306
Sunset Park,White,2017,Percent,0.12188,307
Crown Heights North,White,2017,Percent,0.07064,308
Crown Heights South,White,2017,Percent,0.19676,309
Bay Ridge,White,2017,Percent,0.08255,310
Bensonhurst,White,2017,Percent,0.16227,311
Borough Park,White,2017,Percent,0.32337,312
Coney Island,White,2017,Percent,0.20098,313
Flatbush/Midwood,White,2017,Percent,0.15207,314
Sheepshead Bay,White,2017,Percent,0.13687,315
Brownsville,White,2017,Percent,0.36873,316
East Flatbush,White,2017,Percent,0.28787,317
Canarsie,White,2017,Percent,0.06417,318
Astoria,White,2017,Percent,0.06852,401
Sunnyside/Woodside,White,2017,Percent,0.0769,402
Jackson Heights,White,2017,Percent,0.08003,403
Elmhurst/Corona,White,2017,Percent,0.06307,404
Ridgewood/Glendale,White,2017,Percent,0.08107,405
Rego Park/Forest Hills,White,2017,Percent,0.04306,406
Flushing,White,2017,Percent,0.10254,407
Fresh Meadows/Briarwood,White,2017,Percent,0.14599,408
Woodhaven,White,2017,Percent,0.08956,409
Howard Beach,White,2017,Percent,0.07621,410
Bayside,White,2017,Percent,0.06217,411
Jamaica/St. Albans,White,2017,Percent,0.28772,412
Queens Village,White,2017,Percent,0.08133,413
The Rockaways,White,2017,Percent,0.10662,414
St. George,White,2017,Percent,0.06667,501
South Beach,White,2017,Percent,0.07787,502
Tottenville,White,2017,Percent,0.0663,503
Battery Park/Tribeca,Black,2017,Percent,0.26999,101
Greenwich Village,Black,2017,Percent,0.26999,102
Lower East Side,Black,2017,Percent,0.61935,103
