"Name","Asthma Hospitalizations"
"Description","<normal><g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""5"" data-gr-id=""5"">Number</g> of asthma hospitalizations among NYC resident children by age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<g class=""gr_ gr_6 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins doubleReplace replaceWithoutSep"" id=""6"" data-gr-id=""6"">Rate</g> of asthma hospitalizations per 10,000 children in specific age groups (0 to 4, 5 to 17 and 0 to 17).<br />
<br />
</normal>"
"Source Notes","New York State Statewide Planning and Research Cooperative System (SPARCS) Deidentified Hospital Discharge Data, retrieved from&nbsp;<g class=""gr_ gr_5 gr-alert gr_gramm gr_inline_cards gr_run_anim Grammar only-ins replaceWithoutSep"" id=""5"" data-gr-id=""5"">New</g>&nbsp;York City Department of Health and Mental Hygiene NYC Tracking Program: Environment and Health Data Portal. [Asthma Hospitalizations; 2000-2016].&nbsp;<a href=""http://a816-dohbesp.nyc.gov/IndicatorPublic/"" target=""_blank"">http://a816-dohbesp.nyc.gov/IndicatorPublic/</a>"
"Notes","<normal>Rates are calculated by using number of asthma hospitalizations among NYC resident children for particular age group, divided by the population of children for the same age group, expressed as cases per 10,000 resident children for the respective age group (i.e. asthma hospitalization among NYC resident children ages 0 to 4, divided by the population of children ages 0 to 4, expressed as cases per 10,000 population ages 0 to 4).<br />
<br />
UHFs with the value of&nbsp;<strong>0</strong>&nbsp;represent data suppressed by DOHMH due to small sample size or insufficient data.&nbsp;<br />
</normal>"

Location,Age Group,TimeFrame,DataFormat,Data,Fips
Lower Manhattan,0 to 4 years,2009,Number,10,uhf310
Lower Manhattan,0 to 4 years,2009,Rate,31.4,uhf310
Lower Manhattan,5 to 17 Years,2009,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2009,Rate,13.9,uhf310
Manhattan,0 to 4 years,2009,Rate,66.2,36061
Manhattan,0 to 4 years,2009,Number,514,36061
Manhattan,5 to 17 Years,2009,Number,508,36061
Manhattan,5 to 17 Years,2009,Rate,31.9,36061
New York City,0 to 4 years,2009,Rate,96.5,3651000
New York City,0 to 4 years,2009,Number,5041,3651000
New York City,5 to 17 Years,2009,Number,4189,3651000
New York City,5 to 17 Years,2009,Rate,33.2,3651000
Northeast Bronx,0 to 4 years,2009,Number,155,uhf102
Northeast Bronx,0 to 4 years,2009,Rate,134.8,uhf102
Northeast Bronx,5 to 17 Years,2009,Number,127,uhf102
Northeast Bronx,5 to 17 Years,2009,Rate,38.1,uhf102
Pelham - Throgs Neck,0 to 4 years,2009,Number,329,uhf104
Pelham - Throgs Neck,0 to 4 years,2009,Rate,165.9,uhf104
Pelham - Throgs Neck,5 to 17 Years,2009,Number,259,uhf104
Pelham - Throgs Neck,5 to 17 Years,2009,Rate,49.3,uhf104
Port  Richmond,0 to 4 years,2009,Rate,77.1,uhf501
Port  Richmond,0 to 4 years,2009,Number,41,uhf501
Port  Richmond,5 to 17 Years,2009,Number,39,uhf501
Port  Richmond,5 to 17 Years,2009,Rate,26.7,uhf501
Queens,0 to 4 years,2009,Number,988,36081
Queens,0 to 4 years,2009,Rate,73.9,36081
Queens,5 to 17 Years,2009,Number,779,36081
Queens,5 to 17 Years,2009,Rate,23.6,36081
Ridgewood - Forest Hills,0 to 4 years,2009,Rate,63.7,uhf405
Ridgewood - Forest Hills,0 to 4 years,2009,Number,92,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2009,Number,65,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2009,Rate,20.2,uhf405
Rockaway,0 to 4 years,2009,Number,89,uhf410
Rockaway,0 to 4 years,2009,Rate,102.7,uhf410
Rockaway,5 to 17 Years,2009,Number,96,uhf410
Rockaway,5 to 17 Years,2009,Rate,44.4,uhf410
South Beach - Tottenville,0 to 4 years,2009,Number,22,uhf504
South Beach - Tottenville,0 to 4 years,2009,Rate,21.1,uhf504
South Beach - Tottenville,5 to 17 Years,2009,Number,25,uhf504
South Beach - Tottenville,5 to 17 Years,2009,Rate,7.9,uhf504
Southeast Queens,0 to 4 years,2009,Rate,116.7,uhf409
Southeast Queens,0 to 4 years,2009,Number,121,uhf409
Southeast Queens,5 to 17 Years,2009,Number,103,uhf409
Southeast Queens,5 to 17 Years,2009,Rate,32.6,uhf409
Southwest Queens,0 to 4 years,2009,Rate,108.4,uhf407
Southwest Queens,0 to 4 years,2009,Number,178,uhf407
Southwest Queens,5 to 17 Years,2009,Number,91,uhf407
Southwest Queens,5 to 17 Years,2009,Rate,20.2,uhf407
Stapleton - St. George,0 to 4 years,2009,Number,43,uhf502
Stapleton - St. George,0 to 4 years,2009,Rate,55.8,uhf502
Stapleton - St. George,5 to 17 Years,2009,Number,35,uhf502
Stapleton - St. George,5 to 17 Years,2009,Rate,16.8,uhf502
Staten Island,0 to 4 years,2009,Rate,43.4,36085
Staten Island,0 to 4 years,2009,Number,123,36085
Staten Island,5 to 17 Years,2009,Number,119,36085
Staten Island,5 to 17 Years,2009,Rate,14.7,36085
Sunset Park,0 to 4 years,2009,Number,34,uhf205
Sunset Park,0 to 4 years,2009,Rate,34.6,uhf205
Sunset Park,5 to 17 Years,2009,Number,28,uhf205
Sunset Park,5 to 17 Years,2009,Rate,13.6,uhf205
Union Square - Lower East Side,0 to 4 years,2009,Rate,59.4,uhf309
Union Square - Lower East Side,0 to 4 years,2009,Number,44,uhf309
Union Square - Lower East Side,5 to 17 Years,2009,Number,36,uhf309
Union Square - Lower East Side,5 to 17 Years,2009,Rate,20.7,uhf309
Upper East Side,0 to 4 years,2009,Rate,27.8,uhf305
Upper East Side,0 to 4 years,2009,Number,32,uhf305
Upper East Side,5 to 17 Years,2009,Number,17,uhf305
Upper East Side,5 to 17 Years,2009,Rate,8.9,uhf305
Upper West Side,0 to 4 years,2009,Number,49,uhf304
Upper West Side,0 to 4 years,2009,Rate,41.6,uhf304
Upper West Side,5 to 17 Years,2009,Number,38,uhf304
Upper West Side,5 to 17 Years,2009,Rate,18.9,uhf304
Washington Heights - Inwood,0 to 4 years,2009,Rate,59.9,uhf301
Washington Heights - Inwood,0 to 4 years,2009,Number,85,uhf301
Washington Heights - Inwood,5 to 17 Years,2009,Number,83,uhf301
Washington Heights - Inwood,5 to 17 Years,2009,Rate,22.6,uhf301
West Queens,0 to 4 years,2009,Number,125,uhf402
West Queens,0 to 4 years,2009,Rate,39.1,uhf402
West Queens,5 to 17 Years,2009,Number,100,uhf402
West Queens,5 to 17 Years,2009,Rate,14.3,uhf402
Williamsburg - Bushwick,0 to 4 years,2009,Number,262,uhf211
Williamsburg - Bushwick,0 to 4 years,2009,Rate,164.6,uhf211
Williamsburg - Bushwick,5 to 17 Years,2009,Number,241,uhf211
Williamsburg - Bushwick,5 to 17 Years,2009,Rate,60.6,uhf211
Willowbrook,0 to 4 years,2009,Rate,34.8,uhf503
Willowbrook,0 to 4 years,2009,Number,17,uhf503
Willowbrook,5 to 17 Years,2009,Number,18,uhf503
Willowbrook,5 to 17 Years,2009,Rate,13.2,uhf503
Bayside - Little Neck,0 to 4 years,2010,Number,10,uhf404
Bayside - Little Neck,0 to 4 years,2010,Rate,24.9,uhf404
Bayside - Little Neck,5 to 17 Years,2010,Number,13,uhf404
Bayside - Little Neck,5 to 17 Years,2010,Rate,10.2,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2010,Number,305,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2010,Rate,137.8,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2010,Number,254,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2010,Rate,45.9,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2010,Number,20,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2010,Rate,16.2,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2010,Number,0,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2010,Rate,3,uhf209
Borough Park,0 to 4 years,2010,Rate,12.9,uhf206
Borough Park,0 to 4 years,2010,Number,41,uhf206
Borough Park,5 to 17 Years,2010,Number,23,uhf206
Borough Park,5 to 17 Years,2010,Rate,3.4,uhf206
Bronx,0 to 4 years,2010,Rate,156.4,36005
Bronx,0 to 4 years,2010,Number,1610,36005
Bronx,5 to 17 Years,2010,Number,1311,36005
Bronx,5 to 17 Years,2010,Rate,49.5,36005
Brooklyn,0 to 4 years,2010,Number,1239,36047
Brooklyn,0 to 4 years,2010,Rate,68.8,36047
Brooklyn,5 to 17 Years,2010,Number,1032,36047
Brooklyn,5 to 17 Years,2010,Rate,24.3,36047
Canarsie - Flatlands,0 to 4 years,2010,Rate,77,uhf208
Canarsie - Flatlands,0 to 4 years,2010,Number,90,uhf208
Canarsie - Flatlands,5 to 17 Years,2010,Number,70,uhf208
Canarsie - Flatlands,5 to 17 Years,2010,Rate,20.4,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2010,Number,128,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2010,Rate,135.5,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2010,Number,118,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2010,Rate,48.1,uhf302
Chelsea - Clinton,0 to 4 years,2010,Number,19,uhf306
Chelsea - Clinton,0 to 4 years,2010,Rate,40,uhf306
Chelsea - Clinton,5 to 17 Years,2010,Number,13,uhf306
Chelsea - Clinton,5 to 17 Years,2010,Rate,18,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2010,Rate,27.4,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2010,Number,47,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2010,Number,43,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2010,Rate,10,uhf210
Crotona - Tremont,0 to 4 years,2010,Rate,179.7,uhf105
Crotona - Tremont,0 to 4 years,2010,Number,318,uhf105
Crotona - Tremont,5 to 17 Years,2010,Number,234,uhf105
Crotona - Tremont,5 to 17 Years,2010,Rate,52.5,uhf105
Downtown  - Heights - Slope,0 to 4 years,2010,Rate,54.8,uhf202
Downtown  - Heights - Slope,0 to 4 years,2010,Number,87,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2010,Number,48,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2010,Rate,18.8,uhf202
East Flatbush - Flatbush,0 to 4 years,2010,Number,225,uhf207
East Flatbush - Flatbush,0 to 4 years,2010,Rate,115.5,uhf207
East Flatbush - Flatbush,5 to 17 Years,2010,Number,136,uhf207
East Flatbush - Flatbush,5 to 17 Years,2010,Rate,27.2,uhf207
East Harlem,0 to 4 years,2010,Rate,179.9,uhf303
East Harlem,0 to 4 years,2010,Number,120,uhf303
East Harlem,5 to 17 Years,2010,Number,120,uhf303
East Harlem,5 to 17 Years,2010,Rate,65.1,uhf303
East New York,0 to 4 years,2010,Rate,116,uhf204
East New York,0 to 4 years,2010,Number,167,uhf204
East New York,5 to 17 Years,2010,Number,181,uhf204
East New York,5 to 17 Years,2010,Rate,45.4,uhf204
Flushing - Clearview,0 to 4 years,2010,Rate,36.7,uhf403
Flushing - Clearview,0 to 4 years,2010,Number,47,uhf403
Flushing - Clearview,5 to 17 Years,2010,Number,42,uhf403
Flushing - Clearview,5 to 17 Years,2010,Rate,13,uhf403
Fordham - Bronx Park,0 to 4 years,2010,Rate,142.2,uhf103
Fordham - Bronx Park,0 to 4 years,2010,Number,285,uhf103
Fordham - Bronx Park,5 to 17 Years,2010,Number,278,uhf103
Fordham - Bronx Park,5 to 17 Years,2010,Rate,57.2,uhf103
Fresh Meadows,0 to 4 years,2010,Number,28,uhf406
Fresh Meadows,0 to 4 years,2010,Rate,43.6,uhf406
Fresh Meadows,5 to 17 Years,2010,Number,18,uhf406
Fresh Meadows,5 to 17 Years,2010,Rate,12.5,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2010,Rate,44.5,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2010,Number,20,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2010,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2010,Rate,8.9,uhf307
Greenpoint,0 to 4 years,2010,Number,31,uhf201
Greenpoint,0 to 4 years,2010,Rate,32.2,uhf201
Greenpoint,5 to 17 Years,2010,Number,17,uhf201
Greenpoint,5 to 17 Years,2010,Rate,9.1,uhf201
Greenwich Village - Soho,0 to 4 years,2010,Number,0,uhf308
Greenwich Village - Soho,0 to 4 years,2010,Rate,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2010,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2010,Rate,11.4,uhf308
High Bridge - Morrisania,0 to 4 years,2010,Number,310,uhf106
High Bridge - Morrisania,0 to 4 years,2010,Rate,178,uhf106
High Bridge - Morrisania,5 to 17 Years,2010,Number,195,uhf106
High Bridge - Morrisania,5 to 17 Years,2010,Rate,43.7,uhf106
Hunts Point - Mott Haven,0 to 4 years,2010,Rate,210.3,uhf107
Hunts Point - Mott Haven,0 to 4 years,2010,Number,244,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2010,Number,191,uhf107
Hunts Point - Mott Haven,5 to 17 Years,2010,Rate,64,uhf107
Jamaica,0 to 4 years,2010,Number,208,uhf408
Jamaica,0 to 4 years,2010,Rate,116.2,uhf408
Jamaica,5 to 17 Years,2010,Number,135,uhf408
Jamaica,5 to 17 Years,2010,Rate,27.8,uhf408
Kingsbridge - Riverdale,0 to 4 years,2010,Rate,71.2,uhf101
Kingsbridge - Riverdale,0 to 4 years,2010,Number,39,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2010,Number,35,uhf101
Kingsbridge - Riverdale,5 to 17 Years,2010,Rate,29.2,uhf101
Long Island City - Astoria,0 to 4 years,2010,Rate,36.6,uhf401
Long Island City - Astoria,0 to 4 years,2010,Number,38,uhf401
Long Island City - Astoria,5 to 17 Years,2010,Number,48,uhf401
Long Island City - Astoria,5 to 17 Years,2010,Rate,20.6,uhf401
Lower Manhattan,0 to 4 years,2010,Number,8,uhf310
Lower Manhattan,0 to 4 years,2010,Rate,24.4,uhf310
Lower Manhattan,5 to 17 Years,2010,Number,0,uhf310
Lower Manhattan,5 to 17 Years,2010,Rate,0,uhf310
Manhattan,0 to 4 years,2010,Rate,67.2,36061
Manhattan,0 to 4 years,2010,Number,513,36061
Manhattan,5 to 17 Years,2010,Number,418,36061
Manhattan,5 to 17 Years,2010,Rate,26.5,36061
New York City,0 to 4 years,2010,Rate,82.6,3651000
New York City,0 to 4 years,2010,Number,4302,3651000
New York City,5 to 17 Years,2010,Number,3563,3651000
New York City,5 to 17 Years,2010,Rate,28.3,3651000
Northeast Bronx,0 to 4 years,2010,Number,152,uhf102
Northeast Bronx,0 to 4 years,2010,Rate,132.1,uhf102
Northeast Bronx,5 to 17 Years,2010,Number,133,uhf102
Northeast Bronx,5 to 17 Years,2010,Rate,40.3,uhf102
Pelham - Throgs Neck,0 to 4 years,2010,Number,262,uhf104
Pelham - Throgs Neck,0 to 4 years,2010,Rate,133.1,uhf104
Pelham - Throgs Neck,5 to 17 Years,2010,Number,229,uhf104
Pelham - Throgs Neck,5 to 17 Years,2010,Rate,43.7,uhf104
Port  Richmond,0 to 4 years,2010,Rate,50.6,uhf501
Port  Richmond,0 to 4 years,2010,Number,27,uhf501
Port  Richmond,5 to 17 Years,2010,Number,29,uhf501
Port  Richmond,5 to 17 Years,2010,Rate,19.7,uhf501
Queens,0 to 4 years,2010,Rate,63.5,36081
Queens,0 to 4 years,2010,Number,847,36081
Queens,5 to 17 Years,2010,Number,690,36081
Queens,5 to 17 Years,2010,Rate,20.8,36081
Ridgewood - Forest Hills,0 to 4 years,2010,Rate,55.9,uhf405
Ridgewood - Forest Hills,0 to 4 years,2010,Number,81,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2010,Number,79,uhf405
Ridgewood - Forest Hills,5 to 17 Years,2010,Rate,24.5,uhf405
Rockaway,0 to 4 years,2010,Number,91,uhf410
Rockaway,0 to 4 years,2010,Rate,102.3,uhf410
Rockaway,5 to 17 Years,2010,Number,86,uhf410
Rockaway,5 to 17 Years,2010,Rate,39.3,uhf410
South Beach - Tottenville,0 to 4 years,2010,Number,17,uhf504
South Beach - Tottenville,0 to 4 years,2010,Rate,16.3,uhf504
South Beach - Tottenville,5 to 17 Years,2010,Number,26,uhf504
South Beach - Tottenville,5 to 17 Years,2010,Rate,8.2,uhf504
Southeast Queens,0 to 4 years,2010,Rate,84.9,uhf409
Southeast Queens,0 to 4 years,2010,Number,88,uhf409
Southeast Queens,5 to 17 Years,2010,Number,85,uhf409
Southeast Queens,5 to 17 Years,2010,Rate,27.1,uhf409
Southwest Queens,0 to 4 years,2010,Rate,88.4,uhf407
Southwest Queens,0 to 4 years,2010,Number,143,uhf407
Southwest Queens,5 to 17 Years,2010,Number,83,uhf407
Southwest Queens,5 to 17 Years,2010,Rate,18.4,uhf407
Stapleton - St. George,0 to 4 years,2010,Number,37,uhf502
Stapleton - St. George,0 to 4 years,2010,Rate,48.2,uhf502
Stapleton - St. George,5 to 17 Years,2010,Number,48,uhf502
Stapleton - St. George,5 to 17 Years,2010,Rate,23,uhf502
Staten Island,0 to 4 years,2010,Number,93,36085
Staten Island,0 to 4 years,2010,Rate,32.8,36085
Staten Island,5 to 17 Years,2010,Number,112,36085
Staten Island,5 to 17 Years,2010,Rate,13.9,36085
Sunset Park,0 to 4 years,2010,Number,37,uhf205
Sunset Park,0 to 4 years,2010,Rate,38,uhf205
Sunset Park,5 to 17 Years,2010,Number,19,uhf205
Sunset Park,5 to 17 Years,2010,Rate,9.2,uhf205
Union Square - Lower East Side,0 to 4 years,2010,Rate,57.9,uhf309
Union Square - Lower East Side,0 to 4 years,2010,Number,41,uhf309
Union Square - Lower East Side,5 to 17 Years,2010,Number,18,uhf309
Union Square - Lower East Side,5 to 17 Years,2010,Rate,10.6,uhf309
Upper East Side,0 to 4 years,2010,Rate,24.8,uhf305
Upper East Side,0 to 4 years,2010,Number,28,uhf305
Upper East Side,5 to 17 Years,2010,Number,20,uhf305
Upper East Side,5 to 17 Years,2010,Rate,10.3,uhf305
Upper West Side,0 to 4 years,2010,Number,47,uhf304
Upper West Side,0 to 4 years,2010,Rate,40.4,uhf304
Upper West Side,5 to 17 Years,2010,Number,30,uhf304
Upper West Side,5 to 17 Years,2010,Rate,14.8,uhf304
Washington Heights - Inwood,0 to 4 years,2010,Rate,70.3,uhf301
Washington Heights - Inwood,0 to 4 years,2010,Number,97,uhf301
Washington Heights - Inwood,5 to 17 Years,2010,Number,79,uhf301
Washington Heights - Inwood,5 to 17 Years,2010,Rate,22.2,uhf301
West Queens,0 to 4 years,2010,Number,110,uhf402
West Queens,0 to 4 years,2010,Rate,34.5,uhf402
West Queens,5 to 17 Years,2010,Number,87,uhf402
West Queens,5 to 17 Years,2010,Rate,12.3,uhf402
Williamsburg - Bushwick,0 to 4 years,2010,Number,187,uhf211
Williamsburg - Bushwick,0 to 4 years,2010,Rate,117.1,uhf211
Williamsburg - Bushwick,5 to 17 Years,2010,Number,215,uhf211
Williamsburg - Bushwick,5 to 17 Years,2010,Rate,54.1,uhf211
Willowbrook,0 to 4 years,2010,Rate,24.6,uhf503
Willowbrook,0 to 4 years,2010,Number,12,uhf503
Willowbrook,5 to 17 Years,2010,Number,0,uhf503
Willowbrook,5 to 17 Years,2010,Rate,6.7,uhf503
Bayside - Little Neck,0 to 4 years,2011,Number,7,uhf404
Bayside - Little Neck,0 to 4 years,2011,Rate,17,uhf404
Bayside - Little Neck,5 to 17 Years,2011,Number,0,uhf404
Bayside - Little Neck,5 to 17 Years,2011,Rate,6.4,uhf404
Bedford Stuyvesant - Crown Heights,0 to 4 years,2011,Number,309,uhf203
Bedford Stuyvesant - Crown Heights,0 to 4 years,2011,Rate,135.9,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2011,Number,273,uhf203
Bedford Stuyvesant - Crown Heights,5 to 17 Years,2011,Rate,49.8,uhf203
Bensonhurst - Bay Ridge,0 to 4 years,2011,Number,25,uhf209
Bensonhurst - Bay Ridge,0 to 4 years,2011,Rate,19.9,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2011,Number,17,uhf209
Bensonhurst - Bay Ridge,5 to 17 Years,2011,Rate,6.1,uhf209
Borough Park,0 to 4 years,2011,Rate,18.4,uhf206
Borough Park,0 to 4 years,2011,Number,59,uhf206
Borough Park,5 to 17 Years,2011,Number,44,uhf206
Borough Park,5 to 17 Years,2011,Rate,6.7,uhf206
Bronx,0 to 4 years,2011,Number,1549,36005
Bronx,0 to 4 years,2011,Rate,146,36005
Bronx,5 to 17 Years,2011,Number,1446,36005
Bronx,5 to 17 Years,2011,Rate,55.2,36005
Brooklyn,0 to 4 years,2011,Rate,67.2,36047
Brooklyn,0 to 4 years,2011,Number,1235,36047
Brooklyn,5 to 17 Years,2011,Number,1100,36047
Brooklyn,5 to 17 Years,2011,Rate,26.6,36047
Canarsie - Flatlands,0 to 4 years,2011,Rate,83.7,uhf208
Canarsie - Flatlands,0 to 4 years,2011,Number,100,uhf208
Canarsie - Flatlands,5 to 17 Years,2011,Number,76,uhf208
Canarsie - Flatlands,5 to 17 Years,2011,Rate,21.6,uhf208
Central Harlem - Morningside Heights,0 to 4 years,2011,Number,143,uhf302
Central Harlem - Morningside Heights,0 to 4 years,2011,Rate,145.1,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2011,Number,116,uhf302
Central Harlem - Morningside Heights,5 to 17 Years,2011,Rate,46.9,uhf302
Chelsea - Clinton,0 to 4 years,2011,Number,15,uhf306
Chelsea - Clinton,0 to 4 years,2011,Rate,29.9,uhf306
Chelsea - Clinton,5 to 17 Years,2011,Number,10,uhf306
Chelsea - Clinton,5 to 17 Years,2011,Rate,14.2,uhf306
Coney Island - Sheepshead Bay,0 to 4 years,2011,Rate,17.9,uhf210
Coney Island - Sheepshead Bay,0 to 4 years,2011,Number,31,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2011,Number,36,uhf210
Coney Island - Sheepshead Bay,5 to 17 Years,2011,Rate,9.2,uhf210
Crotona - Tremont,0 to 4 years,2011,Rate,163.8,uhf105
Crotona - Tremont,0 to 4 years,2011,Number,297,uhf105
Crotona - Tremont,5 to 17 Years,2011,Number,232,uhf105
Crotona - Tremont,5 to 17 Years,2011,Rate,52.2,uhf105
Downtown  - Heights - Slope,0 to 4 years,2011,Rate,61,uhf202
Downtown  - Heights - Slope,0 to 4 years,2011,Number,99,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2011,Number,77,uhf202
Downtown  - Heights - Slope,5 to 17 Years,2011,Rate,29,uhf202
East Flatbush - Flatbush,0 to 4 years,2011,Number,210,uhf207
East Flatbush - Flatbush,0 to 4 years,2011,Rate,105.3,uhf207
East Flatbush - Flatbush,5 to 17 Years,2011,Number,151,uhf207
East Flatbush - Flatbush,5 to 17 Years,2011,Rate,31.3,uhf207
East Harlem,0 to 4 years,2011,Rate,135.3,uhf303
East Harlem,0 to 4 years,2011,Number,95,uhf303
East Harlem,5 to 17 Years,2011,Number,117,uhf303
East Harlem,5 to 17 Years,2011,Rate,68.1,uhf303
East New York,0 to 4 years,2011,Rate,104,uhf204
East New York,0 to 4 years,2011,Number,154,uhf204
East New York,5 to 17 Years,2011,Number,159,uhf204
East New York,5 to 17 Years,2011,Rate,41.3,uhf204
Flushing - Clearview,0 to 4 years,2011,Rate,35.1,uhf403
Flushing - Clearview,0 to 4 years,2011,Number,46,uhf403
Flushing - Clearview,5 to 17 Years,2011,Number,37,uhf403
Flushing - Clearview,5 to 17 Years,2011,Rate,12.2,uhf403
Fordham - Bronx Park,0 to 4 years,2011,Rate,126.9,uhf103
Fordham - Bronx Park,0 to 4 years,2011,Number,262,uhf103
Fordham - Bronx Park,5 to 17 Years,2011,Number,266,uhf103
Fordham - Bronx Park,5 to 17 Years,2011,Rate,56.7,uhf103
Fresh Meadows,0 to 4 years,2011,Number,25,uhf406
Fresh Meadows,0 to 4 years,2011,Rate,37.9,uhf406
Fresh Meadows,5 to 17 Years,2011,Number,23,uhf406
Fresh Meadows,5 to 17 Years,2011,Rate,16,uhf406
Gramercy Park -  Murray Hill,0 to 4 years,2011,Rate,19,uhf307
Gramercy Park -  Murray Hill,0 to 4 years,2011,Number,9,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2011,Number,0,uhf307
Gramercy Park -  Murray Hill,5 to 17 Years,2011,Rate,5.6,uhf307
Greenpoint,0 to 4 years,2011,Number,26,uhf201
Greenpoint,0 to 4 years,2011,Rate,26.9,uhf201
Greenpoint,5 to 17 Years,2011,Number,17,uhf201
Greenpoint,5 to 17 Years,2011,Rate,9.4,uhf201
Greenwich Village - Soho,0 to 4 years,2011,Number,0,uhf308
Greenwich Village - Soho,0 to 4 years,2011,Rate,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2011,Number,0,uhf308
Greenwich Village - Soho,5 to 17 Years,2011,Rate,5.8,uhf308
High Bridge - Morrisania,0 to 4 years,2011,Number,281,uhf106
High Bridge - Morrisania,0 to 4 years,2011,Rate,157.6,uhf106
High Bridge - Morrisania,5 to 17 Years,2011,Number,252,uhf106
High Bridge - Morrisania,5 to 17 Years,2011,Rate,57,uhf106
